Test Paths,SW1-A,SW1-B,SW2-A,SW2-B,SW3-A,SW3-B,SW4-A,SW4-B
ROUTE1-RX1,2,1,0,0,0,0,0,0
ROUTE1-RX2,2,2,0,0,0,0,0,0
ROUTE1-NF1,1,1,0,0,0,0,0,0
ROUTE1-NF2,1,2,0,0,0,0,0,0
ROUTE2-TX1,5,6,1,0,0,0,0,0
ROUTE2-TX2,5,6,2,0,0,0,0,0
ROUTE3-RX1,2,6,3,0,0,0,0,0
ROUTE3-RX2,2,4,0,0,0,0,0,0
ROUTE3-RX3,2,6,4,0,0,0,0,0
ROUTE3-NF1,1,6,3,0,0,0,0,0
ROUTE3-NF2,1,4,0,0,0,0,0,0
ROUTE3-NF3,1,6,4,0,0,0,0,0
ROUTE3-TX1,5,6,3,0,0,0,0,0
ROUTE3-TX2,5,4,0,0,0,0,0,0
ROUTE3-TX3,5,6,4,0,0,0,0,0
ROUTE4-RX1,2,3,0,0,0,0,0,0
ROUTE4-RX2,2,5,0,0,0,0,0,0
ROUTE4-NF1,1,3,0,0,0,0,0,0
ROUTE4-NF2,1,5,0,0,0,0,0,0
ROUTE5-TX,5,6,5,0,0,0,0,0
ROUTE5-RX,2,6,6,0,0,0,0,0
ROUTE5-NF,1,6,6,0,0,0,0,0
