CHANNEL		INSTRUMENT			SW1-A		SW1-B		SW2-A

ROUTE1-TX	SPEC-AN				5			6			1
ROUTE2-TX	SPEC-AN				5			6			2

ROUTE3-TX	SPEC-AN				5			6			3
ROUTE4-TX	SPEC-AN				5			4			N/A
ROUTE5-TX	SPEC-AN				5			6			4

ROUTE1-RX	SIG-GEN				2			1			N/A
ROUTE2-RX	SIG-GEN				2			2			N/A

ROUTE3-RX	SIG-GEN				2			6			3
ROUTE4-RX	SIG-GEN				2			4			N/A
ROUTE5-RX	SIG-GEN				2			6			4

ROUTE6-RX	SIG-GEN				2			3			N/A
ROUTE7-RX	SIG-GEN				2			5			N/A

ROUTE1-NF	NOISE SOURCE		1			1			N/A
ROUTE2-NF	NOISE SOURCE		1			2			N/A

ROUTE3-NF	NOISE SOURCE		1			6			3
ROUTE4-NF	NOISE SOURCE		1			4			N/A
ROUTE5-NF	NOISE SOURCE		1			6			4

ROUTE6-NF	NOISE SOURCE		1			3			N/A
ROUTE7-NF	NOISE SOURCE		1			5			N/A


